titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,long,lat,X,Y
"Aréna Garon","https://montreal.ca/lieux/arena-garon","Il héberge temporairement le Club Gymkhana pour des cours de gymnastique artistique. Communiquez avec l'organisme pour connaître leur offre de services.
","2019-08-19","2025-02-21","Montréal-Nord","Sportifs et récréatifs","Aréna","Patinage,Hockey","","","","Fermé temporairement","","","","","numéro: 5143284000",,"Aréna Garon","11212, avenue Garon",,"H1H3T6","Montréal",-73.637915477157,45.594895766272,"294040.0","5050563.8"
"Centre communautaire Saint-Pierre","https://montreal.ca/lieux/centre-communautaire-saint-pierre","En 2003, l’ancien hôtel de ville du quartier Saint-Pierre construit en 1907-1908 devint le Centre communautaire de Saint-Pierre. Le centre héberge maintenant quelques organismes.","2019-08-21","2025-02-21","Lachine","Culturels et communautaires","Centre communautaire","","Air climatisé,Stationnement gratuit,Support à vélo,Toilettes,Wi-Fi gratuit","Accessible en fauteuil roulant avec assistance,Places de stationnement réservées (vignette),Rampe d'accès,Stationnement accessible,Zone de débarcadère pour transport adapté","",,"Horaire habituel: [lundi 08:30-20:00, mardi 08:30-20:00, mercredi 08:30-20:00, jeudi 08:30-20:00, vendredi 08:30-17:00]","","","","numéro: 5146343471",,"Centre communautaire Saint-Pierre","69, avenue Saint-Pierre",,"H8R1E5","Montréal",-73.648978237176,45.44421476202,"293145.8","5033820.0"
"Centre Gabrielle-et-Marcel-Lapalme","https://montreal.ca/lieux/centre-gabrielle-et-marcel-lapalme","Le centre Gabrielle-et-Marcel-Lapalme abrite des organismes communautaires et culturels ainsi qu'un centre de loisirs aux installations variées dont deux salles de danse, une  salle polyvalente, un dojo de karaté et un gymnase pour le soccer, le badminton, le basketball, le tir à l'arc et l'escrime.
","2019-08-21","2025-02-21","Rosemont–La Petite-Patrie","Culturels et communautaires","Centre communautaire","","","","",,"","","","","numéro: 5148726612",,"Centre Gabrielle-et-Marcel-Lapalme","5350, rue Lafond",,"H1X2X2","Montréal",-73.571154,45.552122,"299244.4","5045803.5"
"Centre d'activités communautaires Sauvé","https://montreal.ca/lieux/centre-dactivites-communautaires-sauve","ORGANISMES PRÉSENTS SUR PLACE :

Les boules joyeuses

","2019-08-21","2025-02-21","Montréal-Nord","Culturels et communautaires","Centre communautaire","","","","",,"Horaire habituel: [lundi 12:00-17:00, mardi 12:00-17:00, mercredi 12:00-17:00, jeudi 12:00-17:00, vendredi 12:00-17:00, samedi 12:00-17:00, dimanche 12:00-17:00]","Horaire des organismes sur place. Horaire variable et sujet à changement.","","","numéro: 5143284000",,"Centre d'activités communautaires Sauvé","11440, avenue Éthier",,"H1H1N9","Montréal",-73.635275118919,45.599428932667,"294246.8","5051067.2"
"Centre d'activités communautaires Saint-Laurent","https://montreal.ca/lieux/centre-dactivites-communautaires-saint-laurent","Situé dans le parc Saint-Laurent, le centre d'activités communautaires Saint-Laurent comprend deux salles polyvalentes ainsi que des vestiaires pour la piscine extérieure et pour le terrain de soccer.
ORGANISMES PRÉSENTS SUR PLACE :

Centre des jeunes l'Escale de Montréal-Nord ( 514-328-4180)
Entre parents de Montréal-Nord (514-329-1233)

","2019-08-21","2025-02-21","Montréal-Nord","Culturels et communautaires","Centre communautaire","","","","",,"","","","","",,"Centre d'activités communautaires Saint-Laurent","11614, avenue Salk",,"H1G4Y8","Montréal",-73.628656905137,45.605579924355,"294764.2","5051750.0"
"Centre d'activités communautaires Primeau","https://montreal.ca/lieux/centre-dactivites-communautaires-primeau","ORGANISMES PRÉSENTS SUR PLACE:

Club d'âge d'or San Marco II (femme)
Temple des arts martiaux Shotokan

","2019-08-21","2025-02-21","Montréal-Nord","Culturels et communautaires","Centre communautaire","","","","",,"Horaire habituel: [mardi 18:00-22:00, mercredi 12:00-16:00, jeudi 18:00-22:00, vendredi 12:00-16:00, samedi 10:00-11:00]","Horaire des organismes sur place. Horaire variable et sujet à changement.","","","numéro: 5143284000 extension: 4267",,"Centre d'activités communautaires Primeau","10958, avenue Pelletier",,"H1H3R8","Montréal",-73.633935,45.593267,"294350.2","5050382.3"
"Centre communautaire de loisirs Sainte-Catherine d’Alexandrie","https://montreal.ca/lieux/centre-communautaire-de-loisirs-sainte-catherine-dalexandrie","Le centre communautaire de loisirs Sainte-Catherine d’Alexandrie offre aux adultes et aux enfants des activités sportives et artistiques ainsi que des cours de langues et d'informatique.Inscriptions aux activités par téléphone ou sur place uniquement. ","2019-08-22","2025-02-21","Ville-Marie","Culturels et communautaires","Centre communautaire","","","","",,"Horaire habituel: [lundi 09:00-21:00, mardi 09:00-21:00, mercredi 09:00-21:00, jeudi 09:00-21:00, vendredi 09:00-21:00, samedi 09:00-21:00, dimanche 09:00-21:00]","","","","numéro: 5145246626",,"Centre communautaire de loisirs Sainte-Catherine d’Alexandrie","1700, rue Atateken",,"H2L3L5","Montréal",-73.560601,45.518709,"300065.6","5042089.6"
"Salle Pauline-Julien","https://montreal.ca/lieux/salle-pauline-julien","Creuset de savoir où convergent élèves, jeunes et adultes, le Cegep Gérald-Godin  est une maison d’enseignement supérieur qui propose une formation de qualité. Cet imposant bâtiment abrite en son sein la Salle Pauline-Julien.
Cette salle de spectacle fait partie intégrante du paysage de Sainte-Geneviève depuis l’an 2000. Avec sa programmation diversifiée, elle a su se positionner comme un acteur clé de l’offre culturelle dans l’Ouest-de-l’île.
","2019-08-22","2025-02-21","L'Île-Bizard–Sainte-Geneviève","Culturels et communautaires","Salle de spectacle","","Air climatisé,Vestiaire","","",,"Horaire habituel: [lundi 15:00-20:00, mardi 15:00-20:00, mercredi 15:00-20:00, jeudi 15:00-20:00, vendredi 15:00-20:00, samedi 12:00-17:00]","","","","numéro: 5146261616",,"Salle Pauline-Julien","15615, Gouin Boulevard Ouest",,"H9H5K8","Montréal",-73.869064,45.483577,"275949.2","5038249.8"
"Parc du Vieux-Moulin de Pointe-aux-Trembles","https://montreal.ca/lieux/parc-du-vieux-moulin-de-pointe-aux-trembles","Ce moulin à vent, construit entre 1719-1721, est l’un des plus anciens du Québec.Il a été construit par les Sulpiciens, communément appelés les seigneurs de l’Île de Montréal, qui l’ont fait ériger par le maître maçon Deguire afin de remplacer le premier moulin qui avait été la proie de la crue des eaux. L’objectif du moulin était non seulement de moudre les grains apportés par les colons, mais aussi de servir comme forteresse en cas d’attaques.Le moulin à vent est un actif exceptionnel du Vieux-Pointe-aux-Trembles. Ce bien culturel a le statut de bien archéologique classé depuis 1983 par le ministère de la Culture et des Communications du Québec.En 2007, la Ville de Montréal a amorcé une démarche de mise en valeur du parc du Vieux-Moulin, achevée en 2008. L’exercice comprenait la restauration du bâtiment patrimonial, l’aménagement du site en tant qu’espace public et l’établissement de contenus culturels à des fins d’activités d’interprétation et d’animation au bénéfice de la population. Cette importante opération de réhabilitation d’un témoin historique de l’occupation du territoire a permis de faire du parc du Vieux-Moulin l’un des principaux pôles d’attraction pour les visiteurs et les résidents.Ainsi, l’imposante présence du moulin restauré marque l’entrée au Vieux-Pointe-aux-Trembles.","2019-08-22","2025-02-21","Rivière-des-Prairies–Pointe-aux-Trembles","Culturels et communautaires","Centre culturel","","Bacs bruns publics,Support à vélo,Wi-Fi gratuit","","",,"Horaire habituel: [lundi 06:00-23:00, mardi 06:00-23:00, mercredi 06:00-23:00, jeudi 06:00-23:00, vendredi 06:00-23:00, samedi 06:00-23:00, dimanche 06:00-23:00]","","","","numéro: 5148722240",,"Parc du Vieux-Moulin de Pointe-aux-Trembles","11630, rue Notre-Dame Est",,"H1B2X5","Montréal",-73.492515,45.634673,"305383.6","5054975.1"
"Église Saint-René-Goupil","https://montreal.ca/lieux/eglise-saint-rene-goupil","Cette petite église chaleureuse et intimiste présente des spectacles et concerts du programme Hors les murs de Villeray–Saint-Michel–Parc-Extension.
","2019-08-26","2025-02-21","Villeray–Saint-Michel–Parc-Extension","Culturels et communautaires","Salle de spectacle","","","","",,"","","","","numéro: 5147221161",,"Église Saint-René-Goupil","4251, rue du Parc-René-Goupil",,"H1Z 1X8","Montréal",-73.611855,45.578428,"296070.6","5048730.5"
"Salle polyvalente Curé-Piché","https://montreal.ca/lieux/salle-polyvalente-cure-piche","Au premier étage, des organismes sportifs reconnus par l’Arrondissement y proposent plusieurs activités de sport et de loisirs.","2019-08-26","2025-02-21","Lachine","Sportifs et récréatifs","Centre sportif","","Fontaine d'eau potable,Toilettes,Vestiaire","","",,"","","","","numéro: 5146340646",,"Salle polyvalente Curé-Piché","170, 15e Avenue",,"H8S3L9","Montréal",-73.677168,45.434488,"290938.2","5032743.6"
"Gymnase du Collège Reine-Marie","https://montreal.ca/lieux/gymnase-du-college-reine-marie","Le gymnase du Collège Reine-Marie possède des équipements sportifs pour le soccer, le basketball, le handball et le badminton.
Il est possible de louer le gymnase pour la pratique de vos activités sportives. Pour plus d'information, contactez le responsable au 514 872-6689.
Horaire pour location du gymnase
Lundi au vendredi : de 21 h à 22 h 30
Samedi et dimanche : de 18 h à 22 h
","2019-08-26","2025-02-21","Villeray–Saint-Michel–Parc-Extension","Sportifs et récréatifs","Gymnase","","Air climatisé,Casse-croûte,Douches,Salle d'allaitement,Toilettes,Vestiaire","","",,"","","","","numéro: 5148726689",,"Gymnase du Collège Reine-Marie","9300, boulevard Saint-Michel",,"H1Z 3H1","Montréal",-73.633012,45.572774,"294418.5","5048104.7"
"Centre sportif de la Confédération","https://montreal.ca/lieux/centre-sportif-de-la-confederation","Le centre sportif de la Confédération propose 2 gymnases simples et 1 petite salle multifonctionnelle.","2019-08-27","2025-02-21","Côte-des-Neiges–Notre-Dame-de-Grâce","Sportifs et récréatifs","Centre sportif","","Fontaine d'eau potable,Toilettes,Vestiaire","","",,"Horaire habituel: [lundi 19:00-22:00, mardi 19:00-22:00, mercredi 19:00-22:00, jeudi 19:00-22:00, vendredi 19:00-22:00, samedi 09:00-22:00, dimanche 09:00-17:00]","","","","numéro: 5144814634",,"Centre sportif de la Confédération","5330, avenue de Kensington Montréal (Québec) H3X 3S8",,"H3X3S8","Montréal",-73.6425892,45.4742143,"293651.5","5037153.0"
"Cour de voirie - Verdun","https://montreal.ca/lieux/cour-de-voirie-verdun","Une preuve de résidence doit être présentée.","2019-08-27","2025-02-21","Verdun","Recyclage et déchets","Édifice administratif","","Fontaine d'eau potable","Entrée de plain-pied,Stationnement accessible,Toilette accessible individuelle","",,"Horaire habituel: [lundi 07:30-15:00, mardi 07:30-15:00, mercredi 07:30-15:00, jeudi 07:30-15:00, vendredi 07:30-11:30]","","","","",,"Cour de voirie - Verdun","1177, rue Dupuis",,"H4G3L4","Montréal",-73.577478960706,45.46713123894,"298741.5","5036358.9"
"Éco-quartier de Saint-Laurent (Vertcité)","https://montreal.ca/lieux/eco-quartier-de-saint-laurent-vertcite","Le programme Éco-quartier Saint-Laurent, porté par VertCité, sensibilise et renseigne la communauté laurentienne sur les sujets en lien avec l'environnement comme:

la gestion des matières résiduelles,
la biodiversité urbaine,
la gestion responsable des ressources
le verdissement.
	 

Il accompagne aussi plusieurs projets environnementaux dans les écoles, organismes et entreprises de Saint-Laurent dont des plantations d'arbres, des jardins à pollinisateurs ou des potagers.
Il est aussi possible pour les personnes résidant à Saint-Laurent de s'y procurer les produits subventionnés par l'arrondissement (barils récupérateurs d'eau, composteurs domestiques et mangeoires à oiseaux) et de faire une demande pour les subventions de couches lavables et de tondeuses écologiques.
","2019-08-28","2025-02-21","Saint-Laurent","Points de service","Éco-quartier","","","","",,"Horaire habituel d’été à partir du 11 juin: [mardi 11:00-18:00, mercredi 11:00-18:00, jeudi 12:00-18:00, vendredi 12:00-18:00, samedi 11:00-15:00]","","","","numéro: 5147448333","info@vertcite.ca","Éco-quartier de Saint-Laurent (Vertcité)","685, boulevard Décarie","Bureau 100","H4L5G4","Montréal",-73.676157,45.510449,"291035.8","5041185.0"
"Parc Victoria-Girard","https://montreal.ca/lieux/parc-victoria-girard","Profitez des attraits de la nature ou pratiquez des loisirs en plein air.","2019-08-29","2025-02-21","Rivière-des-Prairies–Pointe-aux-Trembles","Parc et jardins","Parc","","Aire de pique-nique,Module de jeu pour enfants","","",,"Horaire habituel: [lundi 06:00-23:00, mardi 06:00-23:00, mercredi 06:00-23:00, jeudi 06:00-23:00, vendredi 06:00-23:00, samedi 06:00-23:00, dimanche 06:00-23:00]","","","","",,"Parc Victoria-Girard","1881, rue Jean-Leduc",,"H1A5G7","Montréal",-73.506988,45.654278,"304255.4","5057153.9"
"Parc du Millénaire","https://montreal.ca/lieux/parc-du-millenaire","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
","2019-08-29","2025-02-21","Pierrefonds-Roxboro","Parc et jardins","Parc","","","","",,"Horaire habituel: [lundi 06:00-23:00, mardi 06:00-23:00, mercredi 06:00-23:00, jeudi 06:00-23:00, vendredi 06:00-23:00, samedi 06:00-23:00, dimanche 06:00-23:00]","","","","",,"Parc du Millénaire","Rue Saint Léon",,"H8Z2Y3","Montréal",-73.848705489614,45.496020960508,"277546.7","5039625.6"
"Place Raymond-Plante","https://montreal.ca/lieux/place-raymond-plante","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
","2019-08-30","2025-02-21","Rosemont–La Petite-Patrie","Parc et jardins","Place","","","","",,"Horaire habituel: [lundi 06:00-00:00, mardi 06:00-00:00, mercredi 06:00-00:00, jeudi 06:00-00:00, vendredi 06:00-00:00, samedi 06:00-00:00, dimanche 06:00-00:00]","","","","",,"Place Raymond-Plante","780, boulevard Rosemont",,"H2S0A7","Montréal",-73.596136,45.532497,"297291.3","5043624.6"
"Place Hector-Prud'homme","https://montreal.ca/lieux/place-hector-prudhomme","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
","2019-08-30","2025-02-21","Rosemont–La Petite-Patrie","Parc et jardins","Place","","","","",,"Horaire habituel: [lundi 06:00-00:00, mardi 06:00-00:00, mercredi 06:00-00:00, jeudi 06:00-00:00, vendredi 06:00-00:00, samedi 06:00-00:00, dimanche 06:00-00:00]","","","","",,"Place Hector-Prud'homme","6033, rue Saint-Hubert",,"H2S2L8","Montréal",-73.5994271714251,45.534730440729305,"297034.5","5043873.1"
"Parc Tolhurst","https://montreal.ca/lieux/parc-tolhurst","On y trouve un terrain de jeu pour enfants.
","2019-08-30","2025-02-21","Ahuntsic-Cartierville","Parc et jardins","Parc","","Aire de pique-nique,Module de jeu pour enfants,Toilettes","","",,"Horaire habituel: [lundi 06:00-00:00, mardi 06:00-00:00, mercredi 06:00-00:00, jeudi 06:00-00:00, vendredi 06:00-00:00, samedi 06:00-00:00, dimanche 06:00-00:00]","","","","",,"Parc Tolhurst","10137, rue Tolhurst",,"H3L3A2","Montréal",-73.66513411962,45.543866250587,"291904.8","5044896.8"
"Place Sun-Yat-Sen","https://montreal.ca/lieux/place-sun-yat-sen","Située à deux pas du métro Place-d'Armes, la place doit son nom à Sun Yat-Sen (1866-19250, qui, avec la révolution de 1911, devient le tout premier président de la Chine moderne.
","2019-08-30","2025-02-21","Ville-Marie","Parc et jardins","Place","","","","",,"","","","","",,"Place Sun-Yat-Sen","1055, rue Clark",,"H2Z1K3","Montréal",-73.560433130882,45.507880435767,"300077.8","5040886.2"
"Parc Warren-Allmand (Somerled)","https://montreal.ca/lieux/parc-warren-allmand-somerled","Le parc Warren-Allmand est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.
","2019-08-30","2025-02-21","Côte-des-Neiges–Notre-Dame-de-Grâce","Parc et jardins","Parc","Pickleball,Tennis","Aire de pique-nique,Fontaine d'eau potable,Module de jeu pour enfants,Terrain de pickleball,Toilettes","","",,"Horaire habituel: [lundi 06:00-00:00, mardi 06:00-00:00, mercredi 06:00-00:00, jeudi 06:00-00:00, vendredi 06:00-00:00, samedi 06:00-00:00, dimanche 06:00-00:00]","","","","",,"Parc Warren-Allmand (Somerled)","4800, avenue de Hampton",,"H3X3P7","Montréal",-73.634638433038,45.473919617061,"294273.1","5037119.2"
"Parc Solange-Chaput-Rolland","https://montreal.ca/lieux/parc-solange-chaput-rolland","Profitez des attraits de la nature ou pratiquez des loisirs en plein air.","2019-08-30","2025-02-21","Rivière-des-Prairies–Pointe-aux-Trembles","Parc et jardins","Parc","","Bacs bruns publics","","",,"Horaire habituel: [lundi 06:00-23:00, mardi 06:00-23:00, mercredi 06:00-23:00, jeudi 06:00-23:00, vendredi 06:00-23:00, samedi 06:00-23:00, dimanche 06:00-23:00]","","","","",,"Parc Solange-Chaput-Rolland","12526, rue Voltaire",,"H1C2C2","Montréal",-73.55404473653165,45.66681062640964,"300588.9","5058548.1"
"Parc Soeur-Madeleine-Gagnon","https://montreal.ca/lieux/parc-soeur-madeleine-gagnon","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
","2019-08-30","2025-02-21","Rosemont–La Petite-Patrie","Parc et jardins","Parc","Basketball","Module de jeu pour enfants","","",,"Horaire habituel: [lundi 06:00-00:00, mardi 06:00-00:00, mercredi 06:00-00:00, jeudi 06:00-00:00, vendredi 06:00-00:00, samedi 06:00-00:00, dimanche 06:00-00:00]","","","","",,"Parc Soeur-Madeleine-Gagnon","6654, rue Saint-Dominique",,"H2S3A7","Montréal",-73.610047,45.531576,"296204.6","5043523.6"
"Parc Simonne-Monet-Chartrand","https://montreal.ca/lieux/parc-simonne-monet-chartrand","Le parc Simonne-Monet-Chartrand est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.
","2019-08-30","2025-02-21","Ville-Marie","Parc et jardins","Parc","","","","",,"","","","","",,"Parc Simonne-Monet-Chartrand","2121, rue Saint-Christophe",,"H2L 3X1","Montréal",-73.565609,45.5193,"299674.4","5042155.6"
"Parc Simone-Dénéchaud–Gouin","https://montreal.ca/lieux/parc-simone-denechaud-gouin","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-03","2025-02-21","Rivière-des-Prairies–Pointe-aux-Trembles","Parc et jardins","Parc","","","","",,"Horaire habituel: [lundi 06:00-23:00, mardi 06:00-23:00, mercredi 06:00-23:00, jeudi 06:00-23:00, vendredi 06:00-23:00, samedi 06:00-23:00, dimanche 06:00-23:00]","","","","",,"Parc Simone-Dénéchaud–Gouin","7075, rue Simone Dénéchaud",,"H1E1A3","Montréal",-73.61637500885017,45.630423155679324,"295726.3","5054509.4"
"Parc Sicard","https://montreal.ca/lieux/parc-sicard","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-03","2025-02-21","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Parc","","","","",,"Horaire habituel: [lundi 06:00-00:00, mardi 06:00-00:00, mercredi 06:00-00:00, jeudi 06:00-00:00, vendredi 06:00-00:00, samedi 06:00-00:00, dimanche 06:00-00:00]","","","","",,"Parc Sicard","1638, rue Sicard",,"H1V2X6","Montréal",-73.53436943230604,45.555540598059004,"302116.7","5046181.5"
"Parc Sarah-Maxwell","https://montreal.ca/lieux/parc-sarah-maxwell","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-03","2025-02-21","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Parc","","","","",,"Horaire habituel: [lundi 06:00-00:00, mardi 06:00-00:00, mercredi 06:00-00:00, jeudi 06:00-00:00, vendredi 06:00-00:00, samedi 06:00-00:00, dimanche 06:00-00:00]","","","","",,"Parc Sarah-Maxwell","1706, rue Dézéry",,"H1W2R7","Montréal",-73.54383763475657,45.540164150347266,"301376.5","5044473.1"
