titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,long,lat,X,Y
"Rue Marguerite-D’Youville","https://montreal.ca/en/places/rue-marguerite-dyouville","From May 21 to October 31, 2021, see what’s available in this space, between Rue des Sœurs-Grises and Rue McGill.
","2021-12-23","2024-12-11","Ville-Marie","Sports and recreation","Rue piétonne","","","","",,"","","","","",,"Rue Marguerite-D’Youville","Rue Marguerite-D’Youville","Entre les rues des Sœurs-Grises et McGill",,"Montréal",-73.554455,45.499035,"300544.3","5039902.9"
"Rue McTavish","https://montreal.ca/en/places/rue-mctavish","Year-round, enjoy the pedestrian artery between Rue Sherbrooke Ouest and Avenue du Docteur-Penfield.","2021-12-23","2024-12-11","Ville-Marie","Sports and recreation","Rue piétonne","","","","",,"","","","","",,"Rue McTavish","Rue McTavish","Entre la rue Sherbrooke Ouest et l’avenue du Docteur-Penfield",,"Montréal",-73.577214,45.503381,"298766.1","5040387.3"
"Rue Saint-Paul Est","https://montreal.ca/en/places/rue-saint-paul-est","Come stroll along the oldest commercial street in all of Montréal. Its historic character is unrivalled and its businesses quite varied. Its heritage buildings promise terraces, art galleries and special boutiques as well as magnificent views.","2021-12-23","2024-12-11","Ville-Marie","Sports and recreation","Rue piétonne","","","","",,"","","","","",,"Rue Saint-Paul Est","Rue Saint-Paul Est","Entre la rue du Marché-Bonsecours et le boulevard Saint-Laurent",,"Montréal",-73.552555,45.507389,"300693.4","5040831.1"
"Rue Saint-Vincent","https://montreal.ca/en/places/rue-saint-vincent","Come enjoy this magnificent pedestrian street!","2021-12-23","2024-12-11","Ville-Marie","Sports and recreation","Rue piétonne","","","","",,"","","","","",,"Rue Saint-Vincent","Rue Saint-Vincent","Entre les rues Sainte-Thérèse et Saint-Paul",,"Montréal",-73.553138,45.507074,"300647.8","5040796.2"
"Parc des Pins skating rink","https://montreal.ca/en/places/parc-des-pins-skating-rink","Parc des Pins will temporarily feature a boarded skating rink for the 2022-2023 winter season due to recent work at Parc Jeanne-Lapierre.
","2022-11-30","2024-12-11","Rivière-des-Prairies–Pointe-aux-Trembles","Sports and recreation","Skating rink","Skating,Hockey","","","","Temporarily closed","","","","","",,"Parc des Pins skating rink","3995 42e Avenue",,"H3C0G4","Montréal",-73.51640078341558,45.666507915034515,"303522.1","5058513.2"
"Public piano at the Parc François-Perrault","https://montreal.ca/en/places/public-piano-parc-francois-perrault","It's your turn to play! The public piano is open to all residents. It will be open when the Bibliothèque Saint-Michel is open, and closed if it rains. 
Concerts on the public piano 2024 season
Every Thursday evening in summer, at 7 p.m., musicians set up at the public piano to perform a wide variety of musical styles in a warm and friendly atmosphere. 
July 4: Naïma Frank (rhythm and blues, soul, pop) 
July 11: Lucas Maxit Trio* (Latin music, Eastern European music and jazz) 
July 18: Varun et son trio* (folk, world and jazz music) 
July 25: Just Costa* (pop) 
August 1: Nora Toutain (rhythm and blues, soul, jazz) 
August 8: Le Trio les 3 Batulas* (Brazilian and jazz music) 
August 15: Trio d’amour* (classical and world music) 
August 22: Trio Bella Chic* (French song) 
*In partnership with Musiciens du Métro et de la Rue de Montréal. 
Free, no reservation needed 
Concert cancelled in the event of bad weather.
","2023-05-17","2024-12-11","Villeray–Saint-Michel–Parc-Extension","Parks and gardens","Public piano","","","","","Temporarily closed","","","","","numéro: 5148728124",,"Public piano at the Parc François-Perrault","7525 rue François-Perrault","Near the Bibliothèque de Saint-Michel","H2A1M4","Montréal",-73.60168988701756,45.562248802583014,"296861.7","5046931.5"
"Centre d'activités Gabrielle-et-Marcel-Lapalme","https://montreal.ca/en/places/centre-dactivites-gabrielle-et-marcel-lapalme","The Centre d'Activités Gabrielle-et-Marcel-Lapalme has several facilities: two dance studios, a multi-use room, a karate dojo and a gymnasium for soccer, badminton, basketball, archery and fencing.


","2019-08-27","2024-12-11","Rosemont–La Petite-Patrie","Sports and recreation","Sports centre","","","","",,"","","","","",,"Centre d'activités Gabrielle-et-Marcel-Lapalme","5350 Rue Lafond",,"H1X 2X2","Montréal",-73.571154,45.552122,"299244.4","5045803.5"
"Piscine Rosemont","https://montreal.ca/en/places/piscine-rosemont","View the schedules of the Complexe Aquatique de Rosemont.
","2019-12-05","2024-12-11","Rosemont–La Petite-Patrie","Sports and recreation","Indoor swimming pool","Swimming","","","","Permanently closed","","","","","numéro: 5148726622",,"Piscine Rosemont","6101, 8e Avenue",,"H1Y2M1","Montréal",-73.565362136803,45.500933837727,"299692.0","5040114.5"
"Maison du citoyen skating rink","https://montreal.ca/en/places/maison-du-citoyen-skating-rink","Please check the ice conditions before going there in person.","2020-11-25","2024-12-11","Rivière-des-Prairies–Pointe-aux-Trembles","Sports and recreation","Skating rink","Skating","","","","Temporarily closed","","","","","",,"Maison du citoyen skating rink","boulevard Saint-Jean-Baptiste",,"H1B3Z5","Montréal",-73.487770631729,45.640086416287,"305753.4","5055576.8"
"Parc Marie-Claire-Daveluy skating rink","https://montreal.ca/en/places/parc-marie-claire-daveluy-skating-rink","Please check the ice conditions before going there in person.","2020-11-25","2024-12-11","Rivière-des-Prairies–Pointe-aux-Trembles","Sports and recreation","Skating rink","Skating,Hockey","","","","Temporarily closed","","","","","",,"Parc Marie-Claire-Daveluy skating rink","12180, avenue Jean-Yves-Bigras",,"H1E1K1","Montréal",-73.567606718322,45.649160139113,"299530.5","5056587.3"
"Parc Arthur-Therrien outdoor tennis courts","https://montreal.ca/en/places/parc-arthur-therrien-outdoor-tennis-courts","","2021-04-02","2024-12-16","Verdun","Sports and recreation","Tennis or pickleball court","Tennis","","","",,"Regular schedule: [lundi 07:00-22:00, mardi 07:00-22:00, mercredi 07:00-22:00, jeudi 07:00-22:00, vendredi 07:00-22:00, samedi 07:00-22:00, dimanche 07:00-22:00]","","","","",,"Parc Arthur-Therrien outdoor tennis courts","3750 Boulevard Gaétan-Laberge",,"H4G2A3","Montréal",-73.561928909264,45.464435868872,"299957.2","5036058.3"
"Parc Dan-Hanganu (Elgar) outdoor tennis courts","https://montreal.ca/en/places/parc-dan-hanganu-elgar-outdoor-tennis-courts","","2021-04-03","2024-12-16","Verdun","Sports and recreation","Tennis or pickleball court","Pickleball,Tennis","","","",,"Regular schedule: [lundi 07:00-22:00, mardi 07:00-22:00, mercredi 07:00-22:00, jeudi 07:00-22:00, vendredi 07:00-22:00, samedi 07:00-22:00, dimanche 07:00-22:00]","","","","",,"Parc Dan-Hanganu (Elgar) outdoor tennis courts","260 Rue Elgar",,"H3E1C9","Montréal",-73.547943871461,45.457757541204,"301050.4","5035315.4"
"Parc Wilson outdoor tennis courts","https://montreal.ca/en/places/parc-wilson-outdoor-tennis-courts","","2021-04-03","2024-12-16","Verdun","Sports and recreation","Tennis or pickleball court","Tennis","","","",,"Regular schedule: [lundi 07:00-22:00, mardi 07:00-22:00, mercredi 07:00-22:00, jeudi 07:00-22:00, vendredi 07:00-22:00, samedi 07:00-22:00, dimanche 07:00-22:00]","","","","",,"Parc Wilson outdoor tennis courts","Rue Brown",,"H4H1H6","Montréal",-73.578998487435,45.44860170004,"298620.6","5034299.8"
"Parc Saint-Viateur skating rink","https://montreal.ca/en/places/parc-saint-viateur-skating-rink","Please check the ice conditions before going there in person.","2020-11-27","2024-12-24","Outremont","Sports and recreation","Skating rink","Skating","","","",,"","","","","",,"Parc Saint-Viateur skating rink","530, avenue Querbes",,"H2V3W5","Montréal",-73.606625240288,45.520707479966,"296470.3","5042315.4"
"Parc Adrien-D.-Archambault","https://montreal.ca/en/places/parc-adrien-d-archambault","Parc Adrien-D.-Archambault is a park for relaxing, taking in the natural scenery or enjoying outdoor activities.
","2019-09-18","2025-01-16","Verdun","Parks and gardens","Park","Birdwatching,Hiking,Soccer","Drinking fountain,Free parking","","",,"Regular schedule: [lundi 07:00-23:00, mardi 07:00-23:00, mercredi 07:00-23:00, jeudi 07:00-23:00, vendredi 07:00-23:00, samedi 07:00-23:00, dimanche 07:00-23:00]","","","","",,"Parc Adrien-D.-Archambault","1000 Boulevard de la Forêt",,"H3E1X9","Montréal",-73.557381167123,45.456568828183,"300312.2","5035183.8"
"Miniparc Robert","https://montreal.ca/en/places/miniparc-robert","Miniparc Robert is a park for relaxing.","2020-03-16","2025-01-20","Saint-Léonard","Parks and gardens","Park","","Training circuit,Children's playground","","",,"Regular schedule: [lundi 06:00-22:00, mardi 06:00-22:00, mercredi 06:00-22:00, jeudi 06:00-22:00, vendredi 06:00-22:00, samedi 06:00-22:00, dimanche 06:00-22:00]","","","","numéro: 5148720311",,"Miniparc Robert","Boulevard Robert",,"H1R3B1","Montréal",-73.596875667572,45.588042630632,"297241.0","5049797.5"
"Miniparc Grandbois","https://montreal.ca/en/places/miniparc-grandbois","Miniparc Grandbois is a park for relaxing.","2020-03-16","2025-01-20","Saint-Léonard","Parks and gardens","Park","","Children's playground","","",,"Regular schedule: [lundi 06:00-22:00, mardi 06:00-22:00, mercredi 06:00-22:00, jeudi 06:00-22:00, vendredi 06:00-22:00, samedi 06:00-22:00, dimanche 06:00-22:00]","","","","",,"Miniparc Grandbois","Rue Grandbois",,"H1R1B1","Montréal",-73.610624605723,45.596272718625,"296169.4","5050713.5"
"Miniparc Glandelet","https://montreal.ca/en/places/miniparc-glandelet","Miniparc Glandelet  is a park for relaxing.","2020-03-16","2025-01-20","Saint-Léonard","Parks and gardens","Park","","Children's playground","","",,"Regular schedule: [lundi 06:00-22:00, mardi 06:00-22:00, mercredi 06:00-22:00, jeudi 06:00-22:00, vendredi 06:00-22:00, samedi 06:00-22:00, dimanche 06:00-22:00]","","","","",,"Miniparc Glandelet","Rue Glandelet",,"H1R1M3","Montréal",-73.602214811989,45.588205948644,"296824.4","5049816.2"
"Miniparc Deschambault","https://montreal.ca/en/places/miniparc-deschambault","Miniparc Deschambault is a park for relaxing.","2020-03-16","2025-01-20","Saint-Léonard","Parks and gardens","Park","","Children's playground","","",,"Regular schedule: [lundi 06:00-22:00, mardi 06:00-22:00, mercredi 06:00-22:00, jeudi 06:00-22:00, vendredi 06:00-22:00, samedi 06:00-22:00, dimanche 06:00-22:00]","","","","",,"Miniparc Deschambault","Rue Deschambault",,"H1R2C5","Montréal",-73.60705783285732,45.59451481419782,"296447.4","5050517.8"
"Miniparc Chopin","https://montreal.ca/en/places/miniparc-chopin","Miniparc Chopin is a park for relaxing.","2020-07-27","2025-01-20","Saint-Léonard","Parks and gardens","Park","","Children's playground","","",,"Regular schedule: [lundi 06:00-22:00, mardi 06:00-22:00, mercredi 06:00-22:00, jeudi 06:00-22:00, vendredi 06:00-22:00, samedi 06:00-22:00, dimanche 06:00-22:00]","","","","numéro: 5148720311",,"Miniparc Chopin","Rue Chopin",,,"Montréal",-73.612546837746,45.594156335965,"296019.1","5050478.5"
"Miniparc de Ségur","https://montreal.ca/en/places/miniparc-de-segur","Miniparc de Ségur is a park for relaxing.","2020-03-16","2025-01-20","Saint-Léonard","Parks and gardens","Park","","Children's playground","","",,"Regular schedule: [lundi 06:00-22:00, mardi 06:00-22:00, mercredi 06:00-22:00, jeudi 06:00-22:00, vendredi 06:00-22:00, samedi 06:00-22:00, dimanche 06:00-22:00]","","","","numéro: 5148720311",,"Miniparc de Ségur","Rue de Ségur",,"H1R2M5","Montréal",-73.614294241149,45.592573548343,"295882.5","5050302.8"
"Promenade Père-Marquette","https://montreal.ca/en/places/promenade-pere-marquette","Promenade Père-Marquette borders the historic Lachine Canal and Lac Saint-Louis. It offers visitors a unique and beautiful natural setting, steeped in a rich history. This site and its wealth of attractions played an important role during the New France period. It is home to the Fur Trade At Lachine National Historic Site, a stone building dating back to 1803 that recalls the fur trade era. The Promenade Père-Marquette is part of the Lachine Canal National Historic Site of Canada. A walking trail and a bike path, accessible year-round, cross this 1.4 km park. Fitness installations allow visitors to train outdoors. The site also features numerous picnic tables for outdoor meals.A lookout offers spectacular views of Lac Saint-Louis and the small bay that is popular with paddle sports enthusiasts. This point also features the Monica de Jules Lasalle public artwork, which is reminiscent of the statues on Easter Island. In winter, cross-country skiers make the most of the Grand Sud-Ouest trail in this sector.Magnificent contemporary sculptures stand proudly in the park. Continue your exploration by bike or on foot to discover other works in Lachine's sculpture garden.","2019-10-16","2025-01-20","Lachine","Parks and gardens","Park","Photography,Biking,Cross-country skiing,Birdwatching","Picnic area,Training circuit,Drinking fountain,Parking ($),Bike stand,Washroom","","",,"Regular schedule: [lundi 06:00-23:00, mardi 06:00-23:00, mercredi 06:00-23:00, jeudi 06:00-23:00, vendredi 06:00-23:00, samedi 06:00-23:00, dimanche 06:00-23:00]","","","","",,"Promenade Père-Marquette","1450 Boulevard Saint-Joseph",,"H8S2M2","Montréal",-73.678001761436,45.43163655591,"290872.3","5032426.9"
"Monk Island","https://montreal.ca/en/places/monk-island","Monk Island is part of the Lachine Canal National Historic Site of Canada. This green space, accessible by bicycle and on foot, is ideal for relaxing and enjoying nature. It is also a great place to fish.Magnificent contemporary sculptures stand proudly in the park. Continue your exploration by bike or on foot to discover other works in Lachine's sculpture garden.","2019-09-19","2025-01-20","Lachine","Parks and gardens","Park","Photography,Biking,Hiking,Fishing,Birdwatching","Picnic area,Washroom","","",,"","","","","",,"Monk Island","711 Boulevard Saint-Joseph",,"H8S2M3","Montréal",-73.670702484376,45.431067265557,"291443.3","5032362.4"
"Parc Noël-Spinelli","https://montreal.ca/en/places/parc-noel-spinelli","Located in the Lachine borough, Parc Noël-Spinelli offers welcoming and diverse resting areas. Accessible by the borough’s bike path, the park provides a spectacular view of Parc René-Lévesque and Lac Saint-Louis.The park features:An outdoor stageSplash padsDeck chairs overlooking the riverPorch swings loved by residents of all agesA picnic areaBike standsDrinking fountains, including one adapted for people with reduced mobility.In 2017, the borough turned the parc into a friendly gathering and event space for Montréal’s 375th and Lachine’s 350th anniversary celebrations.In 2022, Parc de la Marina d’escale was renamed Parc Noël-Spinelli to honour the cultural and economic legacy of this outstanding Lachine resident, who passed away in 2020.A magnificent contemporary sculpture stands proudly in the park. Continue your exploration by bike or on foot to discover other works in Lachine's sculpture garden.","2019-09-19","2025-01-20","Lachine","Parks and gardens","Park","","Picnic area,Drinking fountain,Children's playground,Parking ($),Bike stand","Stroller-friendly,Access way","",,"Regular schedule: [lundi 06:00-23:00, mardi 06:00-23:00, mercredi 06:00-23:00, jeudi 06:00-23:00, vendredi 06:00-23:00, samedi 06:00-23:00, dimanche 06:00-23:00]","","","","",,"Parc Noël-Spinelli","2207 Boulevard Saint-Joseph",,"H8S4B7","Montréal",-73.68449628135,45.43366736573,"290364.6","5032653.7"
"Salle polyvalente Curé-Piché","https://montreal.ca/en/places/salle-polyvalente-cure-piche","The Salle Polyvalente Curé-Piché is a recreation facility dedicated to martial arts, combat sports and dance. On the first floor, sports organizations recognized by the Borough offer a number of sports and recreational activities.
","2019-08-26","2025-01-24","Lachine","Sports and recreation","Sports centre","","Drinking fountain,Washroom,Changing rooms","","",,"","","","","numéro: 5146340646",,"Salle polyvalente Curé-Piché","170 15e Avenue",,"H8S3L9","Montréal",-73.677168,45.434488,"290938.2","5032743.6"
"Centre communautaire Saint-Pierre","https://montreal.ca/en/places/centre-communautaire-saint-pierre","The Centre Communautaire Saint-Pierre houses the Club d'Âge d'Or of Saint-Pierre, the Cercle des Fermières, the Optimist Club and the Societé Saint-Vincent-de-Paul.




","2019-08-21","2025-01-24","Lachine","Arts, culture and community","Community centre","","Air conditioning,Free parking,Bike stand,Washroom,Free Wi-Fi","Wheelchair accessible with assistance,Reserved parking spaces (permit),Access ramp,Accessible parking,Paratransit drop-off zone","",,"Regular schedule: [lundi 08:30-20:00, mardi 08:30-20:00, mercredi 08:30-20:00, jeudi 08:30-20:00, vendredi 08:30-17:00]","","","","numéro: 5146343471",,"Centre communautaire Saint-Pierre","69 Avenue Saint-Pierre",,"H8R1E5","Montréal",-73.648978237176,45.44421476202,"293145.8","5033820.0"
"Parc Le Carignan welcome center","https://montreal.ca/en/places/parc-le-carignan-welcome-center","The centre houses washrooms and rest area. The washrooms are currently closed for renovation.","2021-02-10","2025-01-27","Montréal-Nord","Parks and gardens","Welcome centre","","","","",,"Regular schedule: [lundi 08:00-22:00, mardi 08:00-22:00, mercredi 08:00-22:00, jeudi 08:00-22:00, vendredi 08:00-22:00, samedi 08:00-22:00, dimanche 08:00-22:00]","Open for authorized organizations only.","","","",,"Parc Le Carignan welcome center","11481 Avenue P.-M.-Favier",,"H1G3X9","Montréal",-73.615870907743,45.609583306205,"295762.2","5052193.3"
"Parc du Fort-Rolland","https://montreal.ca/en/places/parc-du-fort-rolland","Parc du Fort-Rolland is a park for relaxing, taking in the natural scenery or enjoying outdoor activities.The park, which is located west of 34e Avenue, offers magnificent views of the Lac Saint-Louis. Picnic areas are available. In winter, cross-country skiers can enjoy the Grand Sud-Ouest cross-country ski trail.Magnificent contemporary sculptures stand proudly in the park. Continue your exploration by bike or on foot to discover other works in Lachine's sculpture garden.","2019-10-16","2025-01-28","Lachine","Parks and gardens","Park","Biking,Cross-country skiing,Birdwatching,Volleyball","Picnic area,Bike stand","","",,"Regular schedule: [lundi 06:00-23:00, mardi 06:00-23:00, mercredi 06:00-23:00, jeudi 06:00-23:00, vendredi 06:00-23:00, samedi 06:00-23:00, dimanche 06:00-23:00]","","","","",,"Parc du Fort-Rolland","Boulevard Saint-Joseph",,"H8T2A4","Montréal",-73.699266314507,45.43489654723,"289209.4","5032793.0"
"Parc Summerlea","https://montreal.ca/en/places/parc-summerlea","Parc Summerlea is one of the waterfront parks in Lachine.Magnificent contemporary sculptures stand proudly in the park. Continue your exploration by bike or on foot to discover other works in Lachine's sculpture garden.","2019-09-19","2025-01-28","Lachine","Parks and gardens","Park","Birdwatching,Photography,Hiking,Cross-country skiing,Biking","Picnic area,Boat launching ramp,Bike stand","","",,"Regular schedule: [lundi 06:00-23:00, mardi 06:00-23:00, mercredi 06:00-23:00, jeudi 06:00-23:00, vendredi 06:00-23:00, samedi 06:00-23:00, dimanche 06:00-23:00]","","","","",,"Parc Summerlea","5410 Boulevard Saint-Joseph",,"H8T1S5","Montréal",-73.716784,45.438817,"287839.9","5033232.3"
"Parc-nature du Cap-Saint-Jacques Château Gohier","https://montreal.ca/en/places/parc-nature-du-cap-saint-jacques-chateau-gohier","It is located in the beach area, near the Lac des Deux-Montagnes waterfront.
","2020-12-07","2025-01-29","Pierrefonds-Roxboro","Parks and gardens","Welcome centre","","Drinking fountain,Parking ($),Changing table,Washroom","Accessible washrooms","",,"Regular schedule: [lundi 08:00-20:00, mardi 08:00-20:00, mercredi 08:00-20:00, jeudi 08:00-20:00, vendredi 08:00-20:00, samedi 08:00-20:00, dimanche 08:00-20:00]","","","","",,"Parc-nature du Cap-Saint-Jacques Château Gohier","231, chemin du Cap-Saint-Jacques",,"H9K1C8","Montréal",-73.94463562828783,45.46353889908431,"270029.2","5036052.9"
"Parc de La Presse","https://montreal.ca/en/places/parc-de-la-presse","The contemporary work of art ""Entre les rangs"" (""Between the Rows"") is installed in the park. The work, which reinterprets a furrow in the agricultural history of Québec and its wheat fields rippling with the wind and the seasons, recalls the spaces that surrounded Old Montréal at the time. Composed of thousands of flexible rods topped with white reflectors, the work takes advantage of surrounding stimuli to create a dynamic animation.The work has won several architecture and lighting awards, and has been featured in previous editions of Luminothérapie in the Quartier des Spectacles. Its new home in Parc de la Presse will allow Montrealers and tourists to enjoy it again.In addition to this new arrival, Parc La Presse will get a makeover with improved comfort for users. Pavers will be repaired and the low wall will be restored, followed by refurbished street furniture and landscaping in the spring.""Entre les rangs"" (""Between the Rows"")Creation: KANVA Architecture in collaboration with Udo Design, Côté Jardin, Patrick Watson, Boris Dempsey and Pierre Fournier Soundtrack: Patrick Watson Lighting design: William Simard Production: Quartier des Spectacles partnership""Les touristes"" (""The Tourists"") by Elisabeth Buffoli was removed from the park for restoration by the Bureau d'art public.","2020-10-05","2025-01-31","Ville-Marie","Parks and gardens","Park","","Drinking fountain","","",,"Regular schedule: [lundi 06:00-00:00, mardi 06:00-00:00, mercredi 06:00-00:00, jeudi 06:00-00:00, vendredi 06:00-00:00, samedi 06:00-00:00, dimanche 06:00-00:00]","","","","",,"Parc de La Presse","Côte de la Place d'Armes",,,"Montréal",-73.557886335869,45.505727169111,"300276.6","5040646.8"
